NCT,revisit,Development,Diagnostic,Prognostic,Validation,comment,classification
NCT00109525,,,TRUE,,,mentions a clinical prediction model in the outcomes section but not stated in the description as a study objected (diagnostic accuracy),wrong study design
NCT00167336,y,TRUE,TRUE,,,,
NCT00387595,,TRUE,,TRUE,,fine - risk score as an outcome compared as part of RCT,wrong study design
NCT00409136,,TRUE,,TRUE,,RCT,
NCT00513773,,TRUE,,TRUE,,fine,
NCT00521976,,TRUE,,TRUE,,biomarker study,
NCT00550082,,,,TRUE,TRUE,CDSS evaluation,
NCT00767130,y,TRUE,TRUE,,,,
NCT00831909,y,TRUE,,TRUE,,,
NCT00884208,y,,TRUE,,TRUE,diagnostic efficacy of balance and gait tests as a falls risk screening tool,
NCT01029665,,TRUE,,TRUE,,mentions need for a predictive model but doesn't state that the study will build one,
NCT01069835,,TRUE,,TRUE,,duplicate of NCT01069835,
NCT01142674,,TRUE,,TRUE,,,
NCT01174901,,TRUE,TRUE,TRUE,,,
NCT01286155,,TRUE,TRUE,TRUE,,,
NCT01287923,,TRUE,,TRUE,,,
NCT01325155,,TRUE,TRUE,,,,
NCT01361451,,TRUE,,TRUE,,,
NCT01369407,,TRUE,,TRUE,,,
NCT01377402,,TRUE,,TRUE,,,
NCT01384721,,TRUE,,TRUE,,,
NCT01416532,,TRUE,,TRUE,,,
NCT01422044,,TRUE,,TRUE,,,
NCT01422057,,TRUE,,TRUE,,,
NCT01540578,,TRUE,,TRUE,,,
NCT01550016,,TRUE,TRUE,TRUE,,,
NCT01676805,,TRUE,TRUE,TRUE,,,
NCT01690078,,TRUE,,TRUE,,,
NCT01898572,,TRUE,,TRUE,,,
NCT01954303,,,,TRUE,TRUE,,
NCT02001493,,TRUE,,TRUE,,,
NCT02014610,,TRUE,,TRUE,,,
NCT02119182,,TRUE,TRUE,TRUE,,,
NCT02122497,,TRUE,,TRUE,,,
NCT02149472,,TRUE,,TRUE,TRUE,,
NCT02164370,,TRUE,,TRUE,,,
NCT02209857,,TRUE,,TRUE,,,
NCT02210143,,,,TRUE,TRUE,,
NCT02250963,,TRUE,,TRUE,TRUE,,
NCT02259439,,,,TRUE,TRUE,,
NCT02265250,,TRUE,,TRUE,TRUE,,
NCT02386865,,TRUE,,TRUE,,,
NCT02412280,,,,TRUE,TRUE,,
NCT02440646,,TRUE,TRUE,TRUE,TRUE,,
NCT02444416,,,,TRUE,TRUE,,
NCT02457624,,TRUE,TRUE,,,,
NCT02481778,,TRUE,TRUE,,,,
NCT02505698,,TRUE,TRUE,,TRUE,,
NCT02603211,,TRUE,TRUE,,,,
NCT02656589,,TRUE,,TRUE,,,
NCT02709174,,TRUE,,TRUE,,,
NCT02737956,,TRUE,,TRUE,,,
