"","NCT_num","pubmed","pmid"
"1","NCT05240742","https://pubmed.ncbi.nlm.nih.gov/37868959","37868959"
"2","NCT05240742","https://pubmed.ncbi.nlm.nih.gov/36446465","36446465"
"3","NCT05235399","https://pubmed.ncbi.nlm.nih.gov/36482482","36482482"
"4","NCT05194787","https://pubmed.ncbi.nlm.nih.gov/35850660","35850660"
"5","NCT05170282","https://pubmed.ncbi.nlm.nih.gov/37462798","37462798"
"6","NCT05167812","https://pubmed.ncbi.nlm.nih.gov/36153018","36153018"
"7","NCT05147389","https://pubmed.ncbi.nlm.nih.gov/36781156","36781156"
"8","NCT05135377","https://pubmed.ncbi.nlm.nih.gov/36316072","36316072"
"9","NCT05132465","https://pubmed.ncbi.nlm.nih.gov/35502192","35502192"
"10","NCT05095324","https://pubmed.ncbi.nlm.nih.gov/36579349","36579349"
"11","NCT05090306","https://pubmed.ncbi.nlm.nih.gov/36631859","36631859"
"12","NCT05034185","https://pubmed.ncbi.nlm.nih.gov/37040553","37040553"
"13","NCT05024591","https://pubmed.ncbi.nlm.nih.gov/35133093","35133093"
"14","NCT05018104","https://pubmed.ncbi.nlm.nih.gov/35568510","35568510"
"15","NCT04907266","https://pubmed.ncbi.nlm.nih.gov/34544675","34544675"
"16","NCT04893200","https://pubmed.ncbi.nlm.nih.gov/35529792","35529792"
"17","NCT04890730","https://pubmed.ncbi.nlm.nih.gov/36356684","36356684"
"18","NCT04889729","https://pubmed.ncbi.nlm.nih.gov/36930857","36930857"
"19","NCT04889729","https://pubmed.ncbi.nlm.nih.gov/36436542","36436542"
"20","NCT04883879","https://pubmed.ncbi.nlm.nih.gov/34957004","34957004"
"21","NCT04881383","https://pubmed.ncbi.nlm.nih.gov/35613775","35613775"
"22","NCT04858893","https://pubmed.ncbi.nlm.nih.gov/35410449","35410449"
"23","NCT04798456","https://pubmed.ncbi.nlm.nih.gov/36494776","36494776"
"24","NCT04780373","https://pubmed.ncbi.nlm.nih.gov/34637082","34637082"
"25","NCT04773938","https://pubmed.ncbi.nlm.nih.gov/35105647","35105647"
