"","NCT_num","pubmed","PMID"
"1","NCT04730778","https://pubmed.ncbi.nlm.nih.gov/37358644/","37358644"
"2","NCT04218461","https://pubmed.ncbi.nlm.nih.gov/22323509/","22323509"
"3","NCT04218461","https://pubmed.ncbi.nlm.nih.gov/29742219/","29742219"
"4","NCT04218461","https://pubmed.ncbi.nlm.nih.gov/30507844/","30507844"
"5","NCT04713852","https://pubmed.ncbi.nlm.nih.gov/34258059/","34258059"
"6","NCT05059093","https://pubmed.ncbi.nlm.nih.gov/29349772/","29349772"
"7","NCT05059093","https://pubmed.ncbi.nlm.nih.gov/20842655/","20842655"
"8","NCT05059093","https://pubmed.ncbi.nlm.nih.gov/24216305/","24216305"
"9","NCT05059093","https://pubmed.ncbi.nlm.nih.gov/22535628/","22535628"
"10","NCT05059093","https://pubmed.ncbi.nlm.nih.gov/23573383/","23573383"
"11","NCT05059093","https://pubmed.ncbi.nlm.nih.gov/24738894/","24738894"
"12","NCT05059093","https://pubmed.ncbi.nlm.nih.gov/26094600/","26094600"
"13","NCT05059093","https://pubmed.ncbi.nlm.nih.gov/25297394/","25297394"
"14","NCT05059093","https://pubmed.ncbi.nlm.nih.gov/32768045/","32768045"
"15","NCT05059093","https://pubmed.ncbi.nlm.nih.gov/31805845/","31805845"
"16","NCT05059093","https://pubmed.ncbi.nlm.nih.gov/34324425/","34324425"
"17","NCT05059093","https://pubmed.ncbi.nlm.nih.gov/31091515/","31091515"
"18","NCT05059093","https://pubmed.ncbi.nlm.nih.gov/31947341/","31947341"
"19","NCT05059093","https://pubmed.ncbi.nlm.nih.gov/33515982/","33515982"
"20","NCT05059093","https://pubmed.ncbi.nlm.nih.gov/31665002/","31665002"
"21","NCT04258891","https://pubmed.ncbi.nlm.nih.gov/34756569/","34756569"
"22","NCT04221048","https://pubmed.ncbi.nlm.nih.gov/20863956/","20863956"
"23","NCT04221048","https://pubmed.ncbi.nlm.nih.gov/21295672/","21295672"
"24","NCT04221048","https://pubmed.ncbi.nlm.nih.gov/20584777/","20584777"
"25","NCT04221048","https://pubmed.ncbi.nlm.nih.gov/16449731/","16449731"
"26","NCT04221048","https://pubmed.ncbi.nlm.nih.gov/30165544/","30165544"
"27","NCT04221048","https://pubmed.ncbi.nlm.nih.gov/27177511/","27177511"
"28","NCT04221048","https://pubmed.ncbi.nlm.nih.gov/26043149/","26043149"
"29","NCT04221048","https://pubmed.ncbi.nlm.nih.gov/2979363/","2979363"
"30","NCT04221048","https://pubmed.ncbi.nlm.nih.gov/35472215/","35472215"
"31","NCT02904577","https://pubmed.ncbi.nlm.nih.gov/31292118/","31292118"
"32","NCT02039622","https://pubmed.ncbi.nlm.nih.gov/33624069/","33624069"
"33","NCT03330769","https://pubmed.ncbi.nlm.nih.gov/4581554/","4581554"
"34","NCT03330769","https://pubmed.ncbi.nlm.nih.gov/20589696/","20589696"
"35","NCT03330769","https://pubmed.ncbi.nlm.nih.gov/26644232/","26644232"
"36","NCT03330769","https://pubmed.ncbi.nlm.nih.gov/20482783/","20482783"
"37","NCT03330769","https://pubmed.ncbi.nlm.nih.gov/23460467/","23460467"
"38","NCT03330769","https://pubmed.ncbi.nlm.nih.gov/26433318/","26433318"
"39","NCT03330769","https://pubmed.ncbi.nlm.nih.gov/25837448/","25837448"
"40","NCT03330769","https://pubmed.ncbi.nlm.nih.gov/17477479/","17477479"
"41","NCT03330769","https://pubmed.ncbi.nlm.nih.gov/17477480/","17477480"
"42","NCT03330769","https://pubmed.ncbi.nlm.nih.gov/29991631/","29991631"
"43","NCT03642483","https://pubmed.ncbi.nlm.nih.gov/26084580/","26084580"
"44","NCT03642483","https://pubmed.ncbi.nlm.nih.gov/19754628/","19754628"
"45","NCT03642483","https://pubmed.ncbi.nlm.nih.gov/22492662/","22492662"
"46","NCT03642483","https://pubmed.ncbi.nlm.nih.gov/25789107/","25789107"
"47","NCT02611570","https://pubmed.ncbi.nlm.nih.gov/24399786/","24399786"
