,NCT_num,pubmed,PMID,Match,Reason no match
1,NCT04730778,https://pubmed.ncbi.nlm.nih.gov/37358644/,37358644,,
2,NCT04218461,https://pubmed.ncbi.nlm.nih.gov/22323509/,22323509,1,
3,NCT04218461,https://pubmed.ncbi.nlm.nih.gov/29742219/,29742219,,
4,NCT04218461,https://pubmed.ncbi.nlm.nih.gov/30507844/,30507844,,
5,NCT04713852,https://pubmed.ncbi.nlm.nih.gov/34258059/,34258059,1,
6,NCT05059093,https://pubmed.ncbi.nlm.nih.gov/29349772/,29349772,,
7,NCT05059093,https://pubmed.ncbi.nlm.nih.gov/20842655/,20842655,,
8,NCT05059093,https://pubmed.ncbi.nlm.nih.gov/24216305/,24216305,,
9,NCT05059093,https://pubmed.ncbi.nlm.nih.gov/22535628/,22535628,,
10,NCT05059093,https://pubmed.ncbi.nlm.nih.gov/23573383/,23573383,,
11,NCT05059093,https://pubmed.ncbi.nlm.nih.gov/24738894/,24738894,,
12,NCT05059093,https://pubmed.ncbi.nlm.nih.gov/26094600/,26094600,,
13,NCT05059093,https://pubmed.ncbi.nlm.nih.gov/25297394/,25297394,,
14,NCT05059093,https://pubmed.ncbi.nlm.nih.gov/32768045/,32768045,,
15,NCT05059093,https://pubmed.ncbi.nlm.nih.gov/31805845/,31805845,,
16,NCT05059093,https://pubmed.ncbi.nlm.nih.gov/34324425/,34324425,,
17,NCT05059093,https://pubmed.ncbi.nlm.nih.gov/31091515/,31091515,,
18,NCT05059093,https://pubmed.ncbi.nlm.nih.gov/31947341/,31947341,,
19,NCT05059093,https://pubmed.ncbi.nlm.nih.gov/33515982/,33515982,,
20,NCT05059093,https://pubmed.ncbi.nlm.nih.gov/31665002/,31665002,,
21,NCT04258891,https://pubmed.ncbi.nlm.nih.gov/34756569/,34756569,1,
22,NCT04221048,https://pubmed.ncbi.nlm.nih.gov/20863956/,20863956,,
23,NCT04221048,https://pubmed.ncbi.nlm.nih.gov/21295672/,21295672,,
24,NCT04221048,https://pubmed.ncbi.nlm.nih.gov/20584777/,20584777,,
25,NCT04221048,https://pubmed.ncbi.nlm.nih.gov/16449731/,16449731,,
26,NCT04221048,https://pubmed.ncbi.nlm.nih.gov/30165544/,30165544,,
