,NCT,PMID,title,prob_adj,match,protocol,biomarker,mutivariable,other
1,NCT05257694,33882972,Optimal stereotactic body radiotherapy dosage for hepatocellular carcinoma: a multicenter study.,0.079685221,2,,,,
2,NCT05250557,35441530,Coronary CTA With AI-QCT Interpretation: Comparison With Myocardial Perfusion Imaging for Detection of Obstructive Stenosis Using Invasive Angiography as Reference Standard.,0.153492916,1,,,,
3,NCT05240742,32994259,Serial measurements in COVID-19-induced acute respiratory disease to unravel heterogeneity of the disease course: design of the Maastricht Intensive Care COVID cohort (MaastrICCht).,0.864046014,0,1,,,
4,NCT05240742,33283178,"The ""sex gap"" in COVID-19 trials: a scoping review.",0.65600698,0,,,,1
5,NCT05240742,34636804,Differences and Similarities Among COVID-19 Patients Treated in Seven ICUs in Three Countries Within One Region: An Observational Cohort Study.,0.082351801,0,,,,1
6,NCT05231616,33094348,A Gene-Expression Predictor for Efficacy of Induction Chemotherapy in Locoregionally Advanced Nasopharyngeal Carcinoma.,0.078201001,0,,,,1
7,NCT05218837,31788783,Third-trimester prediction of successful vaginal birth after one cesarean delivery-A Swedish model.,0.175601367,0,,,,
8,NCT05218837,33155996,External validation of a prediction model on vaginal birth after caesarean in a The Netherlands: a prospective cohort study.,0.054058702,0,,,,
9,NCT05218837,34343773,The prediction of morbidity related to vaginal delivery in nulliparous women - A secondary analysis from the genesis multicenter trial.,0.055847155,,,,,
10,NCT05218837,34533224,Vaginal birth after cesarean in women with no prior vaginal delivery carrying a large for gestational age baby.,0.111284455,,,,,
11,NCT05218837,35697530,"Reproductive, obstetric, and long-term health outcome after uterus transplantation: results of the first clinical trial.",0.300421472,,,,,
12,NCT05218837,34183220,Application of the Grobman vaginal birth after cesarean predictive model to Latin American countries included in the World Health Organization Global Survey of Maternal and Perinatal Health.,0.105833703,,,,,
13,NCT05218837,34370062,"Women's experiences of the injury, recovery and desire for rehabilitation after a second-degree vaginal tear-a qualitative study.",0.063061352,,,,,
14,NCT05218837,35303474,"The effect of two midwives during the second stage of labour to reduce severe perineal trauma (Oneplus): a multicentre, randomised controlled trial in Sweden.",0.654788679,,,,,
15,NCT05218837,32853395,Risk of anal sphincter injury in trial of labor post cesarean section.,0.056537994,,,,,
16,NCT05218837,33855292,Feasibility study for the value of pelvic floor distension in predicting mode of birth for women undergoing Vaginal Birth After Caesarean.,0.147425249,,,,,
17,NCT05218837,31636163,Episiotomy use among vaginal deliveries and the association with anal sphincter injury: a population-based retrospective cohort study.,0.186618262,,,,,
