NCT,study_start,final_decision,study_posted,overall_status,PMID,match,reject_reason,title,abstract,grant_info,pub_date,pub_type_ui,doi,registration,pub_after_study_start,posted_before_pub,NCT_in_main_text,note
NCT00005420,1/04/1992,include,26/05/2000,Completed,35761271,0,NA,Effect of race on cardiometabolic responses to once-weekly exenatide: insights from the Exenatide Study of Cardiovascular Event Lowering (EXSCEL).,"To determine whether there were racial differences in short-term cardiometabolic responses to once-weekly exenatide (EQW) in the Exenatide Study of Cardiovascular Event Lowering (EXSCEL).EXSCEL enrolled 14,752 patients with type 2 diabetes (hemoglobin A1c (HbA1c) 6.5-10.0% [48-86 mmol/mol]) with or without cardiovascular disease who were randomized double-blind to EQW or placebo. Background glucose-lowering/other cardiovascular therapies were unaltered for 6 months post-randomization unless clinically essential, facilitating comparison of EQW-associated effects in 14,665 evaluable participants self-identifying as White (n = 11,113), Asian (n = 1444), Black (n = 870), or Other Race (n = 1,238. Placebo-adjusted 6 month absolute changes in cardiometabolic variables were assessed using generalized linear models.Mean 6-month placebo-adjusted HbA1c reductions were similar in the four groups (range 0.54-0.67% [5.9 to 7.3 mmol/mol], P = 0.11 for race×treatment interaction), with no significant difference in Asians (reference) versus other groups after covariate adjustment (all P ≥ 0.10). Six-month placebo-adjusted mean changes in systolic (-1.8 to 0.0 mmHg) and diastolic (0.2 to 1.2 mmHg) blood pressure, serum LDL (- 0.06 to 0.02 mmol/L) and HDL (0.00 to 0.01 mmol/L) cholesterol, and serum triglycerides (-0.1 to 0.0 mmol/L) were similar in the racial groups (P ≥ 0.19 for race×treatment interaction and all P ≥ 0.13 for comparisons of Asians with other races). Resting pulse rate increased more in Asians (4 beats/min) than in other groups (≤ 3 beats/min, P = 0.016 for race×treatment interaction and all P ≤ 0.050 for comparisons of Asians with other races).Short-term cardiometabolic responses to EQW were similar in the main racial groups in EXSCEL, apart from a greater pulse rate increase in Asians.https://clinicaltrials.gov NCT01144338.© 2022. The Author(s).",NA,28/06/2022,D016428;D016449;D013485,10.1186/s12933-022-01555-z,NCT01144338,1,1,,
NCT00005421,1/09/1992,include,26/05/2000,Completed,30371339,0,NA,Comparison of Cardiovascular Risk Factors for Coronary Heart Disease and Stroke Type in Women.,"Background Cardiovascular risk factors have differential effects on various manifestations of cardiovascular disease, but to date direct formal comparisons are scarce, have been conducted primarily in men, and include only traditional risk factors. Methods and Results Using data from the multi-ethnic Women's Health Initiative Observational Study, we used a case-cohort design to compare 1731 women with incident cardiovascular disease during follow-up to a cohort of 1914 women. The direction of effect of all 24 risk factors (including various apolipoproteins, hemoglobin A1c, high-sensitivity C-reactive protein, N-terminal pro-brain natriuretic peptide, and tissue plasminogen activator antigen) was concordant for coronary heart disease (CHD, defined as myocardial infarction and CHD death) and ischemic stroke; however, associations were generally stronger with CHD. Significant differences for multiple risk factors, including blood pressure, lipid levels, and measures of inflammation, were observed when comparing the effects on hemorrhagic stroke with those on ischemic outcomes. For instance, multivariable adjusted hazard ratios per standard deviation increase in non-high-density lipoprotein cholesterol were 1.16 (95% confidence interval, 1.06-1.28) for CHD, 0.97 (0.88-1.07) for ischemic stroke, and 0.76 (0.63-0.91) for hemorrhagic stroke ( P<0.05 for equal association). Model discrimination was better for models predicting CHD or ischemic stroke than for models predicting hemorrhagic stroke or a combined end point. Conclusions Cardiovascular risk factors have largely similar effects on incidence of CHD and ischemic stroke in women, although the magnitude of association varies. Determinants of ischemic and hemorrhagic stroke substantially differ, underscoring their distinct biology. Cardiovascular disease risk may be more accurately reflected when combined cardiovascular disease or cerebrovascular outcomes are broken down into different first manifestations, or when restricted to ischemic outcomes.",NA,30/10/2018,D003160;D016428;D016448;D064888;D052061;D013485,10.1161/JAHA.117.007514,NA,1,1,,
NCT00119522,1/03/2004,include,13/07/2005,Completed,22925750,0,NA,Potentially modifiable risk factors among veterans with spinal cord injury hospitalized for severe pressure ulcers: a descriptive study.,"Pressure ulcers (PrUs) are a serious, costly and potentially life-long complication of spinal cord injury (SCI). Co-morbid conditions increase PrU risk, adding to the health behavior challenges faced by people with SCI. Little is known about medical co-morbidities, health beliefs, risk, protective behaviors, and readiness to improve skin care behaviors in people with SCI. This study describes the potentially modifiable medical and behavioral risk factors among veterans with SCI and severe (Stage III/IV) PrUs.Cross-sectional observational design.6 VA SCI Centers.Convenience sample from a larger intervention study of 148 veterans hospitalized for PrUs.Not applicable.Knowledge, PrU risk, skin protective behaviors, health beliefs, and practices, health locus of control, skin worsening.Most ulcers were stage IV (73%) and about half had 2+ PrUs. Participants reported a mean of 6.7 co-morbid conditions (respiratory, gastrointestinal, renal disease/urinary tract infection, autonomic dysreflexia, diabetes, bowel/bladder incontinence). Potential intervention opportunities include proactive assistance with management of multiple chronic conditions, substance abuse, nutrition, adherence to skin protective behaviors, readiness to change, and access to resources. Overall knowledge about PrUs was low, especially for how to prevent PrUs and what to do if skin breakdown occurs.Future research should address whether comprehensive models that include patient self-management, decision support and health care system, and proactive behavior change assistance for patients help reduce PrU incidence and recurrence in persons with SCI.http://clinicaltrials.gov/ct2/show/NCT00105859.",NA,29/08/2012,D016428;D016454,10.1179/2045772312Y.0000000016,NCT00105859,1,1,,
NCT00160940,1/02/2002,include,12/09/2005,Unknown status,29438397,0,NA,Capacity of non-invasive hepatic fibrosis algorithms to replace transient elastography to exclude cirrhosis in people with hepatitis C virus infection: A multi-centre observational study.,"Achievement of the 2030 World Health Organisation (WHO) global hepatitis C virus (HCV) elimination targets will be underpinned by scale-up of testing and use of direct-acting antiviral treatments. In Australia, despite publically-funded testing and treatment, less than 15% of patients were treated in the first year of treatment access, highlighting the need for greater efficiency of health service delivery. To this end, non-invasive fibrosis algorithms were examined to reduce reliance on transient elastography (TE) which is currently utilised for the assessment of cirrhosis in most Australian clinical settings.This retrospective and prospective study, with derivation and validation cohorts, examined consecutive patients in a tertiary referral centre, a sexual health clinic, and a prison-based hepatitis program. The negative predictive value (NPV) of seven non-invasive algorithms were measured using published and newly derived cut-offs. The number of TEs avoided for each algorithm, or combination of algorithms, was determined.The 850 patients included 780 (92%) with HCV mono-infection, and 70 (8%) co-infected with HIV or hepatitis B. The mono-infected cohort included 612 men (79%), with an overall prevalence of cirrhosis of 16% (125/780). An 'APRI' algorithm cut-off of 1.0 had a 94% NPV (95%CI: 91-96%). Newly derived cut-offs of 'APRI' (0.49), 'FIB-4' (0.93) and 'GUCI' (0.5) algorithms each had NPVs of 99% (95%CI: 97-100%), allowing avoidance of TE in 40% (315/780), 40% (310/780) and 40% (298/749) respectively. When used in combination, NPV was retained and TE avoidance reached 54% (405/749), regardless of gender or co-infection.Non-invasive algorithms can reliably exclude cirrhosis in many patients, allowing improved efficiency of HCV assessment services in Australia and worldwide.",NA,14/02/2018,D016428;D016448;D064888,10.1371/journal.pone.0192763,NA,1,1,,
NCT00224172,1/01/2001,include,22/09/2005,Completed,25660250,0,NA,Thirty-day Hospital Readmissions in Patients with Non-ST-segment Elevation Acute Myocardial Infarction.,"Limited data exist about relatively recent trends in the magnitude and characteristics of patients who are rehospitalized shortly after admission for a non-ST-segment elevation acute myocardial infarction (NSTEMI). This observational study describes decade-long trends (1999-2009) in the magnitude and characteristics of patients readmitted to the hospital within 30 days of hospitalization for an incident (initial) episode of NSTEMI.We reviewed the medical records of 2249 residents of the Worcester (Mass) metropolitan area who were hospitalized for an initial NSTEMI in 6 biennial periods between 1999 and 2009 at 3 central Massachusetts medical centers.The average age of our study population was 72 years, 90% were white, and 46% were women. The proportion of patients who were readmitted to the hospital for any cause within 30 days after discharge for an NSTEMI remained unchanged between 1999 and 2009 (approximately 15%) in both crude and multivariable adjusted analyses. Slight declines were observed for cardiovascular disease-related 30-day readmissions over the 10-year study period. Women, elderly patients, those with multiple chronic comorbidities or a prolonged index hospitalization, and patients who developed heart failure during their index hospitalization were at higher risk for being readmitted within 30 days than respective comparison groups.Thirty-day hospital readmission rates after hospital discharge for a first NSTEMI remained stable between 1999 and 2009. We identified several groups at higher risk for hospital readmission; further surveillance efforts and/or tailored educational and treatment approaches remain needed for these groups.Copyright © 2015 Elsevier Inc. All rights reserved.",K01AG033643|NIA NIH HHS|United States|R01 HL035434|NHLBI NIH HHS|United States|KL2RR031981|NCRR NIH HHS|United States|T32 GM107000|NIGMS NIH HHS|United States|K01 AG033643|NIA NIH HHS|United States|KL2 TR001455|NCATS NIH HHS|United States|T32 HL120823|NHLBI NIH HHS|United States|U01 HL105268|NHLBI NIH HHS|United States|R56 HL035434|NHLBI NIH HHS|United States|R01 HL35434|NHLBI NIH HHS|United States|R01 HL35434-29|NHLBI NIH HHS|United States|KL2 RR031981|NCRR NIH HHS|United States|U01HL105268-01|NHLBI NIH HHS|United States,11/02/2015,D003160;D016428;D016448;D064888;D052061,10.1016/j.amjmed.2015.01.022,NA,1,1,,
NCT00258869,1/12/2005,include,28/11/2005,Unknown status,21385367,0,NA,"Multinational, observational study of procalcitonin in ICU patients with pneumonia requiring mechanical ventilation: a multicenter observational study.","The intent of this study was to determine whether serum procalcitonin (PCT) levels are associated with prognosis, measured as organ dysfunctions and 28-day mortality, in patients with severe pneumonia.This was a multicenter, observational study of critically ill adult patients with pneumonia requiring mechanical ventilation conducted in 10 academic hospitals in Canada, the United States, and Central Europe. PCT was measured daily for 14 days using an immuno-luminometric assay.We included 175 patients, 57 with community acquired pneumonia (CAP), 61 with ventilator associated pneumonia (VAP) and 57 with hospital acquired pneumonia (HAP). Initial PCT levels were higher in CAP than VAP patients (median (interquartile range: IQR); 2.4 (0.95 to 15.8) vs. 0.7 (0.3 to 2.15), ng/ml, P < 0.001) but not significantly different to HAP (2.2 (0.4 to 8.0) ng/ml). The 28-day ICU mortality rate for all patients was 18.3% with a median ICU length of stay of 16 days (range 1 to 142 days). PCT levels were higher in non-survivors than in survivors. Initial and maximum PCT levels correlated with maximum Sequential Organ Failure Assessment (SOFA) score r2 = 0.50 (95% CI: 0.38 to 0.61) and r² = 0.57 (0.46 to 0.66), respectively. Receiver operating curve (ROC) analysis on discrimination of 28-day mortality showed areas under the curve (AUC) of 0.74, 0.70, and 0.69 for maximum PCT, initial PCT, and Acute Physiology and Chronic Health Evaluation (APACHE) II score, respectively. The optimal cut-off to predict mortality for initial PCT was 1.1 ng/ml (odds ratio: OD 7.0 (95% CI 2.6 to 25.2)) and that for maximum PCT was 7.8 ng/ml (odds ratio 5.7 (95% CI 2.5 to 13.1)).PCT is associated with the severity of illness in patients with severe pneumonia and appears to be a prognostic marker of morbidity and mortality comparable to the APACHE II score.",NA,10/03/2011,D016428;D016448;D013485,10.1186/cc10087,NA,1,1,,
NCT00368420,1/09/2006,include,24/08/2006,Completed,34874631,0,NA,Randomized Trial of Cytoreductive Surgery for Relapsed Ovarian Cancer.,"Treatment for patients with recurrent ovarian cancer has been mainly based on systemic therapy. The role of secondary cytoreductive surgery is unclear.We randomly assigned patients with recurrent ovarian cancer who had a first relapse after a platinum-free interval (an interval during which no platinum-based chemotherapy was used) of 6 months or more to undergo secondary cytoreductive surgery and then receive platinum-based chemotherapy or to receive platinum-based chemotherapy alone. Patients were eligible if they presented with a positive Arbeitsgemeinschaft Gynäkologische Onkologie (AGO) score, defined as an Eastern Cooperative Oncology Group performance-status score of 0 (on a 5-point scale, with higher scores indicating greater disability), ascites of less than 500 ml, and complete resection at initial surgery. A positive AGO score is used to identify patients in whom a complete resection might be achieved. The primary end point was overall survival. We also assessed quality of life and prognostic factors for survival.A total of 407 patients underwent randomization: 206 were assigned to cytoreductive surgery and chemotherapy, and 201 to chemotherapy alone. A complete resection was achieved in 75.5% of the patients in the surgery group who underwent the procedure. The median overall survival was 53.7 months in the surgery group and 46.0 months in the no-surgery group (hazard ratio for death, 0.75; 95% confidence interval, 0.59 to 0.96; P = 0.02). Patients with a complete resection had the most favorable outcome, with a median overall survival of 61.9 months. A benefit from surgery was seen in all analyses in subgroups according to prognostic factors. Quality-of-life measures through 1 year of follow-up did not differ between the two groups, and we observed no perioperative mortality within 30 days after surgery.In women with recurrent ovarian cancer, cytoreductive surgery followed by chemotherapy resulted in longer overall survival than chemotherapy alone. (Funded by the AGO Study Group and others; DESKTOP III ClinicalTrials.gov number, NCT01166737.).Copyright © 2021 Massachusetts Medical Society.",NA,8/12/2021,D016428;D016448;D016449;D013485,10.1056/NEJMoa2103294,NCT01166737,1,1,,
NCT00481234,1/06/2002,include,1/06/2007,Completed,22078984,0,NA,Autonomic activation during sleep and new-onset ambulatory hypertension in the elderly.,"Sympathetic ""overactivity"" during night is a well recognized factor of hypertension development in adults. However, the deleterious effect of nocturnal autonomic activation in elderly remains controversial.Subjects, all aged 65 years at baseline, were selected from the PROOF cohort study, a prospective observational cohort of subjects. Exclusion criteria were previous myocardial infarction, stroke, heart failure, type-1 diabetes, atrial fibrillation or anti-arrhythmic drug. Normotensive subjects were selected according to: 24-h ambulatory blood pressure (BP) measurements <135/85 mm Hg, absence of self-report antihypertensive treatment. Autonomic activation during sleep was evaluated from night-time ECG Holter recording. According the %VLFI (Very-Low Frequency component of Interbeat Interval Increment evaluated from heart rate variability analysis). Subjects with new-onset ambulatory hypertension were identified after two years when daytime ambulatory blood pressure was higher than 135/85 mm Hg or when they used an antihypertensive treatment.Among 428 normotensive subjects at inclusion, 62 (14.5%) were considered as hypertensives after two years. Univariate logistic regression model showed a significant association between abnormal %VLFI (>4%) and new-onset hypertension: OR = 1.78 (1.03-3.07). Male gender, increased body mass index and ambulatory systolic BP were also associated with increased risk of hypertension. After adjustment in the stepwise logistic regression, abnormal %VLFI was associated with an 82% increase in odds of new-onset hypertension, independently of systolic ABPM and body mass index.Repeated autonomic activation during sleep, whatever the origin of the phenomenon, may trigger hypertension development in the elderly.Copyright © 2011 Elsevier Ireland Ltd. All rights reserved.",NA,15/11/2011,D003160;D016428;D013485,10.1016/j.ijcard.2011.10.097,NCT00759304,1,1,,
NCT00536367,1/01/2006,include,27/09/2007,Completed,29572091,0,NA,Effects on short term outcome of non-invasive ventilation use in the emergency department to treat patients with acute heart failure: A propensity score-based analysis of the EAHFE Registry.,"To assess the effects of non-invasive ventilation (NIV) in emergency department (ED) patients with acute heart failure (AHF) on short term outcomes.Patients from the EAHFE Registry (a multicenter, observational, multipurpose, cohort-designed database including consecutive AHF patients in 41 Spanish EDs) were grouped based on NIV treatment (NIV+ and NIV-groups). Using propensity score (PS) methodology, we identified two subgroups of patients matched by 38 covariates and compared regarding 30-day survival (primary outcome). Interaction was investigated for age, sex, ischemic cardiomyopathy, chronic obstructive pulmonary disease, AHF precipitated by an acute coronary syndrome (ACS), AHF classified as hypertensive or acute pulmonary edema (APE), and systolic blood pressure (SBP). Secondary outcomes were intensive care unit (ICU) admission; mechanical ventilation; in-hospital, 3-day and 7-day mortality; and prolonged hospitalization (>7 days).Of 11,152 patients from the EAHFE (age (SD): 80 (10) years; 55.5% women), 718 (6.4%) were NIV+ and had a higher 30-day mortality (HR = 2.229; 95%CI = 1.861-2.670) (p < 0.001). PS matching provided 2 groups of 490 patients each with no significant differences in 30-day mortality (HR = 1.239; 95%CI = 0.905-1.696) (p = 0.182). Interaction analysis suggested a worse effect of NIV on elderly patients (>85 years, p < 0.001), AHF associated with ACS (p = 0.045), and SBP < 100 mmHg (p < 0.001). No significant differences were found in the secondary endpoints except for more prolonged hospitalizations in NIV+ patients (OR = 1.445; 95%CI = 1.122-1.862) (p = 0.004).The use of NIV to treat AHF in ED is not associated with improved mortality outcomes and should be cautious in old patients and those with ACS and hypotension.Copyright © 2018 European Federation of Internal Medicine. Published by Elsevier B.V. All rights reserved.",NA,25/03/2018,D016428;D016448;D064888,10.1016/j.ejim.2018.03.008,NA,1,1,,
NCT00590616,1/02/2005,include,10/01/2008,Completed,31501126,0,NA,Risk factors for progression of carotid intima-media thickness in patients with systemic lupus erythematosus: protocol for an observational cohort study in China.,"Accelerated atherosclerosis is a major complication of systemic lupus erythematosus (SLE), and it leads to increased cardiovascular morbidity and mortality in patients with SLE. This study aimed to investigate the natural progression of carotid intima-media thickness (CIMT), and to examine the risk factors for progression of CIMT and atherosclerotic plaques based on a Chinese SLE cohort.Participants were continuously enrolled as outpatients of the Department of Rheumatology in Peking Union Medical College Hospital (PUMCH) from October 2013 to December 2016. Inclusion criteria were as follows: (1) age ≥18 years, (2) fulfilment of clinical classification criteria of SLE and (3) provision of signed written informed consent. Patients with clinically overt coronary artery disease, a history of cardiovascular disease (previous stroke, heart failure, myocardial infarction, angina or symptomatic peripheral artery disease) and malignancy, and pregnant/lactating women were excluded. The primary outcome is progression of CIMT from baseline. A total of 440 patients with SLE will be enrolled. Participants will receive follow-up surveys ~5 years after their baseline visit. A standard structural survey form, including demographic data, medical history, clinical and laboratory assessments and CIMT measurement, is planned for data collection at baseline and follow-up. The risk prediction model for progression of CIMT will be created by using a mixed effect model.The study protocol was approved by the institutional review board of PUMCH (S-599). Informed consent was obtained from all participants according to the Declaration of Helsinki on Biomedical Research Involving Human Studies. All data will be managed confidentially according to guidelines and legislation. Dissemination will include publication of scientific papers and/or presentations of the study findings at international conferences.© Author(s) (or their employer(s)) 2019. Re-use permitted under CC BY-NC. No commercial re-use. See rights and permissions. Published by BMJ.",NA,11/09/2019,D000078325;D016428;D013485,10.1136/bmjopen-2019-030721,NA,1,1,,
