"NCT","study_posted","study_start","overall_status","pmid","title","pub_date_entrez"
"NCT00005420",2000-05-26,1992-04-01,"Completed","9108704","Social context, coping strategies, and depressive symptoms: an expanded model with cardiac patients.",1997-04-01
"NCT00005420",2000-05-26,1992-04-01,"Completed","7789351","Social support, coping, and depressive symptoms in a late-middle-aged sample of patients reporting cardiac illness.",1995-03-01
"NCT00005421",2000-05-26,1992-09-01,"Completed","9180649","Prediction of young adult blood pressure from childhood blood pressure, height, and weight.",1997-05-01
"NCT00005421",2000-05-26,1992-09-01,"Completed","8896136","Estimating predictive values for blood pressure measurements from multivariate regression models with covariates.",1996-10-15
"NCT00005421",2000-05-26,1992-09-01,"Completed","7641339","Blood pressure measurement in childhood epidemiological studies.",1995-08-15
"NCT00005421",2000-05-26,1992-09-01,"Completed","7695458","Implications of small reductions in diastolic blood pressure for primary prevention.",1995-04-10
"NCT00005421",2000-05-26,1992-09-01,"Completed","8501557","Identifying children at high risk for the development of essential hypertension.",1993-06-01
"NCT00092235",2004-09-22,2004-09-17,"Recruiting","35878742","Characterization of Hepatic Dysfunction in Subjects Diagnosed With Chronic GVHD by NIH Consensus Criteria.",2022-07-25
"NCT00092235",2004-09-22,2004-09-17,"Recruiting","33526918","Predictors of hematologic malignancy relapse in patients with advanced chronic graft-versus-host disease.",2021-02-02
"NCT00092235",2004-09-22,2004-09-17,"Recruiting","27374829","Vitamin D levels and their associations with survival and major disease outcomes in a large cohort of patients with chronic graft-vs-host disease.",2016-07-05
"NCT00092235",2004-09-22,2004-09-17,"Recruiting","26088932","Predictive models for ocular chronic graft-versus-host disease diagnosis and disease activity in transplant clinical practice.",2015-06-20
"NCT00092235",2004-09-22,2004-09-17,"Recruiting","25029231","Malnutrition in patients with chronic GVHD.",2014-07-17
"NCT00092235",2004-09-22,2004-09-17,"Recruiting","21791415","Sclerotic-type chronic GVHD of the skin: clinical risk factors, laboratory markers, and burden of disease.",2011-07-28
"NCT00092235",2004-09-22,2004-09-17,"Recruiting","19687424","Magnetic resonance imaging in sclerotic-type chronic graft-vs-host disease.",2009-08-19
"NCT00092235",2004-09-22,2004-09-17,"Recruiting","19168793","Increased T-bet+ cytotoxic effectors and type I interferon-mediated processes in chronic graft-versus-host disease of the oral mucosa.",2009-01-27
"NCT00092235",2004-09-22,2004-09-17,"Recruiting","37684526","Metabolic syndrome prevalence and impact on outcomes in patients with chronic graft-versus-host disease.",2023-09-08
"NCT00092235",2004-09-22,2004-09-17,"Recruiting","37474729","Predictors and significance of kidney dysfunction in patients with chronic graft-versus-host disease.",2023-07-20
"NCT00092235",2004-09-22,2004-09-17,"Recruiting","35747850","Determinants and Clinical Significance of Musculoskeletal Symptoms in Patients With Chronic Graft-Versus-Host Disease.",2022-06-24
"NCT00092235",2004-09-22,2004-09-17,"Recruiting","35522969","The ISHLT chronic lung allograft dysfunction consensus criteria are applicable to pulmonary chronic graft-versus-host disease.",2022-05-06
"NCT00092235",2004-09-22,2004-09-17,"Recruiting","28797782","Predictors for Permanent Discontinuation of Systemic Immunosuppression in Severely Affected Chronic Graft-Versus-Host Disease Patients.",2017-08-12
"NCT00119522",2005-07-13,2004-03-01,"Completed","15839290","Wheelchair-related falls: current evidence and directions for improved quality care.",2005-04-21
"NCT00119522",2005-07-13,2004-03-01,"Completed","15598002","Effects of wheelchair posture on patient safety.",2004-12-16
"NCT00119522",2005-07-13,2004-03-01,"Completed","20684896","Wheelchair-related falls in veterans with spinal cord injury residing in the community: a prospective cohort study.",2010-08-06
"NCT00258869",2005-11-28,2005-12-01,"Unknown status","33938716","Discriminating Bacterial and Viral Infection Using a Rapid Host Gene Expression Test.",2021-05-03
"NCT00258869",2005-11-28,2005-12-01,"Unknown status","34150923","Rapid, Sample-to-Answer Host Gene Expression Test to Diagnose Viral Infection.",2021-06-21
"NCT00258869",2005-11-28,2005-12-01,"Unknown status","25538794","An integrated transcriptome and expressed variant analysis of sepsis survival and death.",2014-12-25
"NCT00258869",2005-11-28,2005-12-01,"Unknown status","20370777","Disease progression in hemodynamically stable patients presenting to the emergency department with sepsis.",2010-04-08
"NCT00258869",2005-11-28,2005-12-01,"Unknown status","19846634","Multiplex PCR to diagnose bloodstream infections in patients admitted from the emergency department with sepsis.",2009-10-23
"NCT00368420",2006-08-24,2006-09-01,"Completed","21270612","Prospective validation study of a predictive score for operability of recurrent ovarian cancer: the Multicenter Intergroup Study DESKTOP II. A project of the AGO Kommission OVAR, AGO Study Group, NOGGO, AGO-Austria, and MITO.",2011-01-29
"NCT00604773",2008-01-30,2008-01-01,"Completed","22323509","Development and validation of PRE-DELIRIC (PREdiction of DELIRium in ICu patients) delirium prediction model for intensive care patients: observational multicentre study.",2012-02-11
"NCT00604773",2008-01-30,2008-01-01,"Completed","22206727","Biomarkers associated with delirium in critically ill patients and their relation with long-term subjective cognitive dysfunction; indications for different pathways governing delirium in inflamed and noninflamed patients.",2011-12-31
"NCT00604773",2008-01-30,2008-01-01,"Completed","21426560","Urinary protein profiling in hyperactive delirium and non-delirium cardiac surgery ICU patients.",2011-03-24
"NCT00787839",2008-11-10,2009-05-01,"Completed","20103548","Diabetes care in black and white veterans in the southeastern U.S.",2010-01-28
"NCT00787839",2008-11-10,2009-05-01,"Completed","20547905","Glucose-independent, black-white differences in hemoglobin A1c levels: a cross-sectional analysis of 2 studies.",2010-06-16
"NCT00787839",2008-11-10,2009-05-01,"Completed","19808929","Many Americans have pre-diabetes and should be considered for metformin therapy.",2009-10-08
"NCT00787839",2008-11-10,2009-05-01,"Completed","20639452","Screening for diabetes and pre-diabetes with proposed A1C-based diagnostic criteria.",2010-07-20
"NCT00787839",2008-11-10,2009-05-01,"Completed","20040660","Delay in diagnosis of diabetes is not the patient's fault.",2009-12-31
"NCT00787839",2008-11-10,2009-05-01,"Completed","20716694","Improvement in ß-cell function in patients with normal and hyperglycemia following Roux-en-Y gastric bypass surgery.",2010-08-19
