NCT,study_posted,study_start,overall_status,pmid,title,pub_date_entrez,match,reason,note,,,posted_before_pub
NCT00005420,26/05/2000,15/04/1992,Completed,9108704,"Social context, coping strategies, and depressive symptoms: an expanded model with cardiac patients.",1/04/1997,0,exclude,before 2000,,,0
NCT00005420,26/05/2000,15/04/1992,Completed,7789351,"Social support, coping, and depressive symptoms in a late-middle-aged sample of patients reporting cardiac illness.",1/03/1995,0,exclude,before 2000,,,0
NCT00005421,26/05/2000,15/09/1992,Completed,9180649,"Prediction of young adult blood pressure from childhood blood pressure, height, and weight.",1/05/1997,0,exclude,before 2000,,,0
NCT00005421,26/05/2000,15/09/1992,Completed,8896136,Estimating predictive values for blood pressure measurements from multivariate regression models with covariates.,15/10/1996,0,exclude,before 2000,,,0
NCT00005421,26/05/2000,15/09/1992,Completed,7641339,Blood pressure measurement in childhood epidemiological studies.,15/08/1995,0,exclude,before 2000,,,0
NCT00005421,26/05/2000,15/09/1992,Completed,7695458,Implications of small reductions in diastolic blood pressure for primary prevention.,10/04/1995,0,exclude,before 2000,,,0
NCT00005421,26/05/2000,15/09/1992,Completed,8501557,Identifying children at high risk for the development of essential hypertension.,1/06/1993,0,exclude,before 2000,,,0
NCT00092235,22/09/2004,17/09/2004,Recruiting,35878742,Characterization of Hepatic Dysfunction in Subjects Diagnosed With Chronic GVHD by NIH Consensus Criteria.,25/07/2022,0,multivariable analysis,,,,1
NCT00092235,22/09/2004,17/09/2004,Recruiting,33526918,Predictors of hematologic malignancy relapse in patients with advanced chronic graft-versus-host disease.,2/02/2021,0,adjusted prognostic factor study,,,,1
NCT00092235,22/09/2004,17/09/2004,Recruiting,27374829,Vitamin D levels and their associations with survival and major disease outcomes in a large cohort of patients with chronic graft-vs-host disease.,5/07/2016,1,,,,,1
NCT00092235,22/09/2004,17/09/2004,Recruiting,26088932,Predictive models for ocular chronic graft-versus-host disease diagnosis and disease activity in transplant clinical practice.,20/06/2015,1,,,,,1
NCT00092235,22/09/2004,17/09/2004,Recruiting,25029231,Malnutrition in patients with chronic GVHD.,17/07/2014,0,other,wrong NCT but predictive model described,,,1
NCT00092235,22/09/2004,17/09/2004,Recruiting,21791415,"Sclerotic-type chronic GVHD of the skin: clinical risk factors, laboratory markers, and burden of disease.",28/07/2011,0,biomarker,TBI as a biomarker? Treatment realted,,,1
NCT00092235,22/09/2004,17/09/2004,Recruiting,19687424,Magnetic resonance imaging in sclerotic-type chronic graft-vs-host disease.,19/08/2009,0,other,wrong NCT,,,1
NCT00092235,22/09/2004,17/09/2004,Recruiting,19168793,Increased T-bet+ cytotoxic effectors and type I interferon-mediated processes in chronic graft-versus-host disease of the oral mucosa.,27/01/2009,0,other,wrong NCT,,,1
NCT00092235,22/09/2004,17/09/2004,Recruiting,37684526,Metabolic syndrome prevalence and impact on outcomes in patients with chronic graft-versus-host disease.,8/09/2023,0,other,wrong NCT,,,1
NCT00092235,22/09/2004,17/09/2004,Recruiting,37474729,Predictors and significance of kidney dysfunction in patients with chronic graft-versus-host disease.,20/07/2023,0,multivariable analysis,,,,1
NCT00092235,22/09/2004,17/09/2004,Recruiting,35747850,Determinants and Clinical Significance of Musculoskeletal Symptoms in Patients With Chronic Graft-Versus-Host Disease.,24/06/2022,0,other,wrong NCT,,,1
NCT00092235,22/09/2004,17/09/2004,Recruiting,35522969,The ISHLT chronic lung allograft dysfunction consensus criteria are applicable to pulmonary chronic graft-versus-host disease.,6/05/2022,0,other,wrong NCT,,,1
NCT00092235,22/09/2004,17/09/2004,Recruiting,28797782,Predictors for Permanent Discontinuation of Systemic Immunosuppression in Severely Affected Chronic Graft-Versus-Host Disease Patients.,12/08/2017,0,other,,,,1
NCT00119522,13/07/2005,15/03/2004,Completed,15839290,Wheelchair-related falls: current evidence and directions for improved quality care.,21/04/2005,0,other,,,,0
NCT00119522,13/07/2005,15/03/2004,Completed,15598002,Effects of wheelchair posture on patient safety.,16/12/2004,0,other,,,,0
NCT00119522,13/07/2005,15/03/2004,Completed,20684896,Wheelchair-related falls in veterans with spinal cord injury residing in the community: a prospective cohort study.,6/08/2010,0,multivariable analysis,,,,1
NCT00258869,28/11/2005,15/12/2005,Unknown status,33938716,Discriminating Bacterial and Viral Infection Using a Rapid Host Gene Expression Test.,3/05/2021,0,wrong outcome,,,,1
NCT00258869,28/11/2005,15/12/2005,Unknown status,34150923,"Rapid, Sample-to-Answer Host Gene Expression Test to Diagnose Viral Infection.",21/06/2021,1,,possible diagnostic accuracy study,,,1
NCT00258869,28/11/2005,15/12/2005,Unknown status,25538794,An integrated transcriptome and expressed variant analysis of sepsis survival and death.,25/12/2014,0,biomarker,,,,1
NCT00258869,28/11/2005,15/12/2005,Unknown status,20370777,Disease progression in hemodynamically stable patients presenting to the emergency department with sepsis.,8/04/2010,0,other,descriptive characteristics and incidence,,,1
NCT00258869,28/11/2005,15/12/2005,Unknown status,19846634,Multiplex PCR to diagnose bloodstream infections in patients admitted from the emergency department with sepsis.,23/10/2009,0,other,could be diagnostic accuracy but uses an elastic net to built the multi marker model,,,1
NCT00368420,24/08/2006,15/09/2006,Completed,21270612,"Prospective validation study of a predictive score for operability of recurrent ovarian cancer: the Multicenter Intergroup Study DESKTOP II. A project of the AGO Kommission OVAR, AGO Study Group, NOGGO, AGO-Austria, and MITO.",29/01/2011,1,,,,,1
NCT00604773,30/01/2008,15/01/2008,Completed,22323509,Development and validation of PRE-DELIRIC (PREdiction of DELIRium in ICu patients) delirium prediction model for intensive care patients: observational multicentre study.,11/02/2012,1,,,,,1
NCT00604773,30/01/2008,15/01/2008,Completed,22206727,Biomarkers associated with delirium in critically ill patients and their relation with long-term subjective cognitive dysfunction; indications for different pathways governing delirium in inflamed and noninflamed patients.,31/12/2011,0,adjusted prognostic factor study,,,,1
NCT00604773,30/01/2008,15/01/2008,Completed,21426560,Urinary protein profiling in hyperactive delirium and non-delirium cardiac surgery ICU patients.,24/03/2011,0,other,matched case-control study; biomarker,,,1
NCT00787839,10/11/2008,15/05/2009,Completed,20103548,Diabetes care in black and white veterans in the southeastern U.S.,28/01/2010,0,other,,,,1
NCT00787839,10/11/2008,15/05/2009,Completed,20547905,"Glucose-independent, black-white differences in hemoglobin A1c levels: a cross-sectional analysis of 2 studies.",16/06/2010,0,other,,,,1
NCT00787839,10/11/2008,15/05/2009,Completed,19808929,Many Americans have pre-diabetes and should be considered for metformin therapy.,8/10/2009,0,other,,,,1
NCT00787839,10/11/2008,15/05/2009,Completed,20639452,Screening for diabetes and pre-diabetes with proposed A1C-based diagnostic criteria.,20/07/2010,0,other,,,,1
NCT00787839,10/11/2008,15/05/2009,Completed,20040660,Delay in diagnosis of diabetes is not the patient's fault.,31/12/2009,0,other,,,,1
NCT00787839,10/11/2008,15/05/2009,Completed,20716694,Improvement in ß-cell function in patients with normal and hyperglycemia following Roux-en-Y gastric bypass surgery.,19/08/2010,0,other,,,,1
NCT00787839,10/11/2008,15/05/2009,Completed,20587721,Screening adults for pre-diabetes and diabetes may be cost-saving.,1/07/2010,0,other,,,,1
NCT00787839,10/11/2008,15/05/2009,Completed,21112654,Validity of the primary care diagnosis of diabetes in veterans in the southeastern United States.,30/11/2010,0,other,diagnostic accuracy,,,1
NCT00787839,10/11/2008,15/05/2009,Completed,19557386,Glucose challenge test screening for prediabetes and undiagnosed diabetes.,27/06/2009,0,other,,,,1
NCT00787839,10/11/2008,15/05/2009,Completed,20053533,Association of glycemic load with cardiovascular disease risk factors: the Women's Health Initiative Observational Study.,8/01/2010,0,other,,,,1
NCT00787839,10/11/2008,15/05/2009,Completed,21115761,Screening for diabetes and prediabetes with proposed A1C-based diagnostic criteria: comment on Olson et al.,1/12/2010,0,other,,,,1
NCT00787839,10/11/2008,15/05/2009,Completed,21940514,A diet high in low-fat dairy products lowers diabetes risk in postmenopausal women.,24/09/2011,0,multivariable analysis,,,,1
NCT00787839,10/11/2008,15/05/2009,Completed,22071707,Biomarker-calibrated dietary energy and protein intake associations with diabetes risk among postmenopausal women from the Women's Health Initiative.,11/11/2011,0,multivariable analysis,,,,1
NCT00787839,10/11/2008,15/05/2009,Completed,22689798,"Diabetes, metformin, and breast cancer in postmenopausal women.",13/06/2012,0,other,,,,1
NCT00787839,10/11/2008,15/05/2009,Completed,22833490,Determinants of racial/ethnic disparities in incidence of diabetes in postmenopausal women in the U.S.: The Women's Health Initiative 1993-2009.,27/07/2012,0,other,,,,1
NCT00787839,10/11/2008,15/05/2009,Completed,22829448,A prospective study of leukocyte telomere length and risk of type 2 diabetes in postmenopausal women.,26/07/2012,0,biomarker,,,,1
NCT00787839,10/11/2008,15/05/2009,Completed,23408092,Sagittal abdominal diameter and visceral adiposity: correlates of beta-cell function and dysglycemia in severely obese women.,15/02/2013,0,biomarker,,,,1
NCT00787839,10/11/2008,15/05/2009,Completed,22847240,Diabetes: normal glucose levels should be the goal.,1/08/2012,0,other,,,,1
NCT00809575,17/12/2008,15/10/2008,"Active, not recruiting",24478321,Preference for involvement in treatment decisions and request for prognostic information in newly diagnosed patients with higher-risk myelodysplastic syndromes.,31/01/2014,0,other,,,,1
NCT00809575,17/12/2008,15/10/2008,"Active, not recruiting",26120100,Accuracy of physician assessment of treatment preferences and health status in elderly patients with higher-risk myelodysplastic syndromes.,30/06/2015,0,other,,,,1
NCT00809575,17/12/2008,15/10/2008,"Active, not recruiting",25272332,"Prevalence, severity and correlates of fatigue in newly diagnosed patients with myelodysplastic syndromes.",2/10/2014,0,other,predictor finding based on univariable,,,1
NCT00809575,17/12/2008,15/10/2008,"Active, not recruiting",26404501,"Prognostic value of self-reported fatigue on overall survival in patients with myelodysplastic syndromes: a multicentre, prospective, observational, cohort study.",26/09/2015,0,adjusted prognostic factor study,,,,1
NCT00809575,17/12/2008,15/10/2008,"Active, not recruiting",29231969,Patient-reported outcomes enhance the survival prediction of traditional disease risk classifications: An international study in patients with myelodysplastic syndromes.,13/12/2017,1,,,,,1
NCT00809575,17/12/2008,15/10/2008,"Active, not recruiting",32086447,The IPSS-R more accurately captures fatigue severity of newly diagnosed patients with myelodysplastic syndromes compared with the IPSS index.,23/02/2020,0,other,,,,1
NCT00821379,13/01/2009,15/04/2008,Completed,30590587,Pre-Conception Characteristics Predict Obstetrical and Neonatal Outcomes in Women With Polycystic Ovary Syndrome.,28/12/2018,0,adjusted prognostic factor study,,,,1
NCT00821379,13/01/2009,15/04/2008,Completed,28778282,Increased rates of complications in singleton pregnancies of women previously diagnosed with polycystic ovary syndrome predominantly in the hyperandrogenic phenotype.,6/08/2017,0,other,mutlivariable analysis; adjusted prognostic factor,,,1
NCT00821379,13/01/2009,15/04/2008,Completed,28228318,Endocrine and cardiometabolic cord blood characteristics of offspring born to mothers with and without polycystic ovary syndrome.,24/02/2017,0,other,case-control study; multivariable analysis,,,1
NCT00821379,13/01/2009,15/04/2008,Completed,26498178,Placental characteristics in women with polycystic ovary syndrome.,27/10/2015,0,other,multivariable analysis,,,1
NCT00821379,13/01/2009,15/04/2008,Completed,25840428,Insulin action in women with polycystic ovary syndrome and its relation to gestational diabetes.,4/04/2015,0,other,multivariable analysis; biomarker or adjusted prognostic factor,,,1
NCT00821379,13/01/2009,15/04/2008,Completed,24777850,Preconception predictors of gestational diabetes: a multicentre prospective cohort study on the predominant complication of pregnancy in polycystic ovary syndrome.,30/04/2014,1,,,,,1
NCT00821379,13/01/2009,15/04/2008,Completed,23739218,Fasting glucose measurement as a potential first step screening for glucose metabolism abnormalities in women with anovulatory polycystic ovary syndrome.,7/06/2013,0,other,analysis of screening strategy,,,1
NCT00821379,13/01/2009,15/04/2008,Completed,22633255,High singleton live birth rate confirmed after ovulation induction in women with anovulatory polycystic ovary syndrome: validation of a prediction model for clinical practice.,29/05/2012,0,,validation of a previous prediction model nto developed by investigators; NCT is a development study,,,1
NCT00821379,13/01/2009,15/04/2008,Completed,20943702,Sex hormone-binding globulin concentrations before conception as a predictor for gestational diabetes in women with polycystic ovary syndrome.,15/10/2010,0,biomarker,,,,1
NCT00961389,19/08/2009,15/05/2009,Unknown status,22323509,Development and validation of PRE-DELIRIC (PREdiction of DELIRium in ICu patients) delirium prediction model for intensive care patients: observational multicentre study.,11/02/2012,1,,,,,1
NCT00969657,1/09/2009,15/08/2009,Completed,24309199,International data-sharing for radiotherapy research: an open-source based infrastructure for multicentric clinical data mining.,7/12/2013,0,data sharing infrastructure,,,,1
NCT01079728,3/03/2010,15/02/2010,Completed,27733675,Stroke-induced immunodepression and dysphagia independently predict stroke-associated pneumonia - The PREDICT study.,14/10/2016,0,adjusted prognostic factor study,,,,1
NCT01079728,3/03/2010,15/02/2010,Completed,33280547,External Validation of Five Scores to Predict Stroke-Associated Pneumonia and the Role of Selected Blood Biomarkers.,7/12/2020,0,,"multiple NCT data used and PI is senior author. Validation is of other scores, not the score they developed",,,1
NCT01079728,3/03/2010,15/02/2010,Completed,30828313,IL-6 Plasma Levels Correlate With Cerebral Perfusion Deficits and Infarct Sizes in Stroke Patients Without Associated Infections.,5/03/2019,0,,biomarker,,,1
NCT01079728,3/03/2010,15/02/2010,Completed,32098866,"Inflammatory and stress markers predicting pneumonia, outcome, and etiology in patients with stroke: Biomarkers for predicting pneumonia, functional outcome, and death after stroke.",27/02/2020,1,,,,,1
NCT01079728,3/03/2010,15/02/2010,Completed,31269910,"Biomarkers of immune capacity, infection and inflammation are associated with poor outcome and mortality after stroke - the PREDICT study.",5/07/2019,0,,adjusted prognostic factor study,,,1
NCT01079728,3/03/2010,15/02/2010,Completed,33288717,Transfer RNA fragments replace microRNA regulators of the cholinergic poststroke immune blockade.,8/12/2020,0,,other,,,1
NCT01130402,26/05/2010,15/06/2009,Completed,19693943,Real-time and computerized sonographic scoring system for predicting malignant cervical lymphadenopathy.,21/08/2009,0,,published before posted on ct,,,0
