"key","title_old","key","title","notes","decision","n_include","n_exclude","n_maybe","n_decisions","to_screen","final_decision","final_decision_conflict"
"NCT00005420","; Prediction of Quality of Life in Cardiovascular Disease","rayyan-325727744","; Prediction of Quality of Life in Cardiovascular Disease","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included""} | RAYYAN-LABELS: prognosis,development","""Nicole""=>""Included"", ""Rex""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT00021957","; ESCAPE Mechanistic Substudies - Ancillary to ESCAPE","rayyan-325727745","; ESCAPE Mechanistic Substudies - Ancillary to ESCAPE","RAYYAN-INCLUSION: {""Nicole""=>""Maybe"", ""Rex""=>""Excluded"", ""a.barnett""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong outcome,multiple variable model | USER-NOTES: {""a.barnett""=>[""looking for surrogate endpoints""]}","""Nicole""=>""Maybe"", ""Rex""=>""Excluded"", ""a.barnett""=>""Excluded"", ""a.barnett""=>[""looking for surrogate endpoints""]",0,2,1,2,0,"Exclude","Exclude"
"NCT00119522","Epidemiology and Cost of Falls in Veterans With Spinal Cord Injury; Epidemiology and Cost of Falls in Veterans With a Spinal Cord Injury","rayyan-325727746","Epidemiology and Cost of Falls in Veterans With Spinal Cord Injury; Epidemiology and Cost of Falls in Veterans With a Spinal Cord Injury","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included"", ""dn.borg""=>""Maybe""} | RAYYAN-LABELS: prognosis,development | USER-NOTES: {""dn.borg""=>[""Aim #4 determine risk factors and develop a model for predicting tips and falls""]}","""Nicole""=>""Included"", ""Rex""=>""Included"", ""dn.borg""=>""Maybe"", ""dn.borg""=>[""Aim #4 determine risk factors and develop a model for predicting tips and falls""]",2,0,1,2,0,"Include","Include"
"NCT00536367","Validation of a Mortality Prediction Model for Acutely Decompensated Heart Failure Patients; Validation of a Mortality Prediction Model for Acutely Decompensated Heart Failure Patients","rayyan-325727747","Validation of a Mortality Prediction Model for Acutely Decompensated Heart Failure Patients; Validation of a Mortality Prediction Model for Acutely Decompensated Heart Failure Patients","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included"", ""a.barnett""=>""Included""} | RAYYAN-LABELS: prognosis,diagnostic,validation","""Nicole""=>""Included"", ""Rex""=>""Included"", ""a.barnett""=>""Included""",3,0,0,3,0,"Include","Include"
"NCT00713882","Health and Psychosocial Outcomes in Long-Term Lymphoma Survivors; Health and Psychosocial Outcomes in Long-Term Lymphoma Survivors","rayyan-325727748","Health and Psychosocial Outcomes in Long-Term Lymphoma Survivors; Health and Psychosocial Outcomes in Long-Term Lymphoma Survivors","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included"", ""a.barnett""=>""Excluded""} | RAYYAN-LABELS: prognosis,development | RAYYAN-EXCLUSION-REASONS: multiple variable model | USER-NOTES: {""Rex""=>[""DISCUSSED - DECISION: INCLUDE""]}","""Nicole""=>""Included"", ""Rex""=>""Included"", ""a.barnett""=>""Excluded"", ""Rex""=>[""DISCUSSED - DECISION: INCLUDE""]",2,1,0,3,0,"Include","Include"
"NCT00784615","Descriptive; Transversal Study of Evaluation of Cardiovascular Risks Factors and Prevalence of Metabolic Syndrome in the Different Phenotypes of Women With Polycystic Ovary Syndrome; Evaluation of Endocrine and Metabolic Parameters in the New Diagnostic Phenotypes of Polycystic Ovary Syndrome","rayyan-325727749","Descriptive; Transversal Study of Evaluation of Cardiovascular Risks Factors and Prevalence of Metabolic Syndrome in the Different Phenotypes of Women With Polycystic Ovary Syndrome; Evaluation of Endocrine and Metabolic Parameters in the New Diagnostic Phenotypes of Polycystic Ovary Syndrome","RAYYAN-INCLUSION: {""Nicole""=>""Excluded"", ""Rex""=>""Excluded"", ""a.barnett""=>""Excluded""}","""Nicole""=>""Excluded"", ""Rex""=>""Excluded"", ""a.barnett""=>""Excluded""",0,3,0,3,0,"Exclude","Exclude"
"NCT00805246","Identifying CT Imaging Biomarkers Associated With Prognosis of Pulmonary Embolism; Assessing the Prognosis of Pulmonary Embolism Using Clinical and Imaging Biomarkers (Retrospective & Prospective )","rayyan-325727750","Identifying CT Imaging Biomarkers Associated With Prognosis of Pulmonary Embolism; Assessing the Prognosis of Pulmonary Embolism Using Clinical and Imaging Biomarkers (Retrospective & Prospective )","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included"", ""a.barnett""=>""Included""} | RAYYAN-LABELS: prognosis,prognostic,validation,development","""Nicole""=>""Included"", ""Rex""=>""Included"", ""a.barnett""=>""Included""",3,0,0,3,0,"Include","Include"
"NCT00969657","Prospective Validation of a Predictive Model for Pathologic Complete Response After Chemoradiotherapy in Rectal Cancer: A Prognostic Study; Validation of a Predictive Model After Complete Response in Rectal Cancer","rayyan-325727751","Prospective Validation of a Predictive Model for Pathologic Complete Response After Chemoradiotherapy in Rectal Cancer: A Prognostic Study; Validation of a Predictive Model After Complete Response in Rectal Cancer","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included"", ""a.barnett""=>""Included""} | RAYYAN-LABELS: prognosis,diagnostic,validation,development","""Nicole""=>""Included"", ""Rex""=>""Included"", ""a.barnett""=>""Included""",3,0,0,3,0,"Include","Include"
"NCT01020409","INFLACOR (INFLA-mmation A-fter C-ardiac O-pe-R-ation) - Use of Selected Genetic Variants; Cytokines; and Physiologic Parameters in the Prognosis of Postoperative Complications in Patients Undergoing Cardiopulmonary Bypass Cardiac Surgery; INFLACOR - Clinical and Genetic Predictors of Inflammation Related Complications After Heart Surgery","rayyan-325727752","INFLACOR (INFLA-mmation A-fter C-ardiac O-pe-R-ation) - Use of Selected Genetic Variants; Cytokines; and Physiologic Parameters in the Prognosis of Postoperative Complications in Patients Undergoing Cardiopulmonary Bypass Cardiac Surgery; INFLACOR - Clinical and Genetic Predictors of Inflammation Related Complications After Heart Surgery","RAYYAN-INCLUSION: {""Nicole""=>""Maybe"", ""Rex""=>""Included"", ""a.barnett""=>""Included""} | RAYYAN-LABELS: prognosis,diagnostic,validation,development","""Nicole""=>""Maybe"", ""Rex""=>""Included"", ""a.barnett""=>""Included""",2,0,1,2,0,"Include","Include"
"NCT01049191","Bone Microarchitecture in Women With and Without Fracture; Bone Microarchitecture in Women With and Without Fracture","rayyan-325727753","Bone Microarchitecture in Women With and Without Fracture; Bone Microarchitecture in Women With and Without Fracture","RAYYAN-INCLUSION: {""Nicole""=>""Excluded"", ""Rex""=>""Excluded"", ""a.barnett""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: case-control","""Nicole""=>""Excluded"", ""Rex""=>""Excluded"", ""a.barnett""=>""Excluded""",0,3,0,3,0,"Exclude","Exclude"
