"NCT","final_decision"
"NCT00005420","Include"
"NCT00119522","Include"
"NCT00536367","Include"
"NCT00713882","Include"
"NCT00805246","Include"
"NCT00969657","Include"
"NCT01020409","Include"
"NCT01080157","Include"
"NCT01291342","Include"
"NCT01302626","Include"
"NCT01307761","Include"
"NCT01346709","Include"
"NCT01357057","Include"
"NCT01364168","Include"
"NCT01369290","Include"
"NCT01392365","Include"
"NCT01490541","Include"
"NCT01527396","Include"
"NCT01587573","Include"
"NCT01609465","Include"
"NCT01617395","Include"
"NCT01826760","Include"
"NCT01873287","Include"
"NCT01917461","Include"
"NCT02025699","Include"
"NCT02039622","Include"
"NCT02086136","Include"
"NCT02093247","Include"
"NCT02210221","Include"
"NCT02278874","Include"
"NCT02336828","Include"
"NCT02341937","Include"
"NCT02352207","Include"
"NCT02439554","Include"
"NCT02466854","Include"
"NCT02480452","Include"
"NCT02546895","Include"
"NCT02581540","Include"
"NCT02658786","Include"
"NCT02668835","Include"
"NCT02757846","Include"
"NCT02759770","Include"
"NCT02783781","Include"
"NCT02804802","Include"
"NCT02826460","Include"
"NCT02837172","Include"
"NCT02863458","Include"
"NCT02904577","Include"
"NCT02912624","Include"
"NCT02932176","Include"
"NCT02992067","Include"
"NCT03003182","Include"
"NCT03038360","Include"
"NCT03064360","Include"
"NCT03108404","Include"
"NCT03110887","Include"
"NCT03118648","Include"
"NCT03198975","Include"
"NCT03248557","Include"
"NCT03286491","Include"
"NCT03303755","Include"
"NCT03315234","Include"
"NCT03317691","Include"
"NCT03330769","Include"
"NCT03336463","Include"
"NCT03355391","Include"
"NCT03362346","Include"
"NCT03414853","Include"
"NCT03451734","Include"
"NCT03474341","Include"
"NCT03513900","Include"
"NCT03513926","Include"
"NCT03517306","Include"
"NCT03552497","Include"
"NCT03600051","Include"
"NCT03601065","Include"
"NCT03601767","Include"
"NCT03625349","Include"
"NCT03628586","Include"
"NCT03635710","Include"
"NCT03646409","Include"
"NCT03668249","Include"
"NCT03694912","Include"
"NCT03708978","Include"
"NCT03719339","Include"
"NCT03723317","Include"
"NCT03732118","Include"
"NCT03737591","Include"
"NCT03737799","Include"
"NCT03759483","Include"
"NCT03761771","Include"
"NCT03851497","Include"
"NCT03852082","Include"
"NCT03857373","Include"
"NCT03858088","Include"
"NCT03874702","Include"
"NCT03881865","Include"
"NCT03892551","Include"
"NCT03932500","Include"
"NCT03934645","Include"
"NCT03938155","Include"
"NCT03946566","Include"
"NCT03979937","Include"
"NCT03996720","Include"
"NCT04003558","Include"
"NCT04012281","Include"
"NCT04022512","Include"
"NCT04023188","Include"
"NCT04037163","Include"
"NCT04044066","Include"
"NCT04045639","Include"
"NCT04079478","Include"
"NCT04092543","Include"
"NCT04099914","Include"
"NCT04108598","Include"
"NCT04122131","Include"
"NCT04135118","Include"
"NCT04156880","Include"
"NCT04162574","Include"
"NCT04191811","Include"
"NCT04196634","Include"
"NCT04215211","Include"
"NCT04233788","Include"
"NCT04240652","Include"
"NCT04258891","Include"
"NCT04264845","Include"
"NCT04268719","Include"
"NCT04278274","Include"
"NCT04293471","Include"
"NCT04301362","Include"
"NCT04314349","Include"
"NCT04337502","Include"
"NCT04349787","Include"
"NCT04355507","Include"
"NCT04358536","Include"
"NCT04387994","Include"
"NCT04409340","Include"
"NCT04418245","Include"
"NCT04422587","Include"
"NCT04431076","Include"
"NCT04441814","Include"
"NCT04452058","Include"
"NCT04458220","Include"
"NCT04462913","Include"
"NCT04473105","Include"
"NCT04473677","Include"
"NCT04473794","Include"
"NCT04479150","Include"
"NCT04497233","Include"
"NCT04499027","Include"
"NCT04518904","Include"
"NCT04547231","Include"
"NCT04547673","Include"
"NCT04550806","Include"
"NCT04563416","Include"
"NCT04582747","Include"
"NCT04589078","Include"
"NCT04590716","Include"
"NCT04629079","Include"
"NCT04635410","Include"
"NCT04655443","Include"
"NCT04665492","Include"
"NCT04671498","Include"
"NCT04678375","Include"
"NCT04678986","Include"
"NCT04680299","Include"
"NCT04683757","Include"
"NCT04685083","Include"
"NCT04695015","Include"
"NCT04695119","Include"
"NCT04701177","Include"
"NCT04705064","Include"
"NCT04710745","Include"
"NCT04718935","Include"
"NCT04721275","Include"
"NCT04727788","Include"
"NCT04730778","Include"
"NCT04735055","Include"
"NCT04737317","Include"
"NCT04745052","Include"
"NCT04753684","Include"
"NCT04772807","Include"
"NCT04788927","Include"
"NCT04789473","Include"
"NCT04792905","Include"
"NCT04793672","Include"
"NCT04798456","Include"
"NCT04805034","Include"
"NCT04811599","Include"
"NCT04825301","Include"
"NCT04825977","Include"
"NCT04828590","Include"
"NCT04864587","Include"
"NCT04867408","Include"
"NCT04891705","Include"
"NCT04897178","Include"
"NCT04907266","Include"
"NCT04917653","Include"
"NCT04918602","Include"
"NCT04918992","Include"
"NCT04950036","Include"
"NCT04952675","Include"
"NCT04955067","Include"
"NCT04955509","Include"
"NCT04957303","Include"
"NCT04958408","Include"
"NCT04959656","Include"
"NCT04966637","Include"
