"NCT","title_old","key","title","notes","decision","n_include","n_exclude","n_maybe","n_decisions","to_screen","final_decision","final_decision_conflict"
"NCT00005420","; Prediction of Quality of Life in Cardiovascular Disease","rayyan-325727744","; Prediction of Quality of Life in Cardiovascular Disease","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included""} | RAYYAN-LABELS: prognosis,development","""Nicole""=>""Included"", ""Rex""=>""Included""",2,0,0,2,0,"Include","Include"
"NCT00119522","Epidemiology and Cost of Falls in Veterans With Spinal Cord Injury; Epidemiology and Cost of Falls in Veterans With a Spinal Cord Injury","rayyan-325727746","Epidemiology and Cost of Falls in Veterans With Spinal Cord Injury; Epidemiology and Cost of Falls in Veterans With a Spinal Cord Injury","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included"", ""dn.borg""=>""Maybe""} | RAYYAN-LABELS: prognosis,development | USER-NOTES: {""dn.borg""=>[""Aim #4 determine risk factors and develop a model for predicting tips and falls""]}","""Nicole""=>""Included"", ""Rex""=>""Included"", ""dn.borg""=>""Maybe"", ""dn.borg""=>[""Aim #4 determine risk factors and develop a model for predicting tips and falls""]",2,0,1,2,0,"Include","Include"
"NCT00536367","Validation of a Mortality Prediction Model for Acutely Decompensated Heart Failure Patients; Validation of a Mortality Prediction Model for Acutely Decompensated Heart Failure Patients","rayyan-325727747","Validation of a Mortality Prediction Model for Acutely Decompensated Heart Failure Patients; Validation of a Mortality Prediction Model for Acutely Decompensated Heart Failure Patients","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included"", ""a.barnett""=>""Included""} | RAYYAN-LABELS: prognosis,diagnostic,validation","""Nicole""=>""Included"", ""Rex""=>""Included"", ""a.barnett""=>""Included""",3,0,0,3,0,"Include","Include"
"NCT00713882","Health and Psychosocial Outcomes in Long-Term Lymphoma Survivors; Health and Psychosocial Outcomes in Long-Term Lymphoma Survivors","rayyan-325727748","Health and Psychosocial Outcomes in Long-Term Lymphoma Survivors; Health and Psychosocial Outcomes in Long-Term Lymphoma Survivors","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included"", ""a.barnett""=>""Excluded""} | RAYYAN-LABELS: prognosis,development | RAYYAN-EXCLUSION-REASONS: multiple variable model | USER-NOTES: {""Rex""=>[""DISCUSSED - DECISION: INCLUDE""]}","""Nicole""=>""Included"", ""Rex""=>""Included"", ""a.barnett""=>""Excluded"", ""Rex""=>[""DISCUSSED - DECISION: INCLUDE""]",2,1,0,3,0,"Include","Include"
"NCT00805246","Identifying CT Imaging Biomarkers Associated With Prognosis of Pulmonary Embolism; Assessing the Prognosis of Pulmonary Embolism Using Clinical and Imaging Biomarkers (Retrospective & Prospective )","rayyan-325727750","Identifying CT Imaging Biomarkers Associated With Prognosis of Pulmonary Embolism; Assessing the Prognosis of Pulmonary Embolism Using Clinical and Imaging Biomarkers (Retrospective & Prospective )","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included"", ""a.barnett""=>""Included""} | RAYYAN-LABELS: prognosis,prognostic,validation,development","""Nicole""=>""Included"", ""Rex""=>""Included"", ""a.barnett""=>""Included""",3,0,0,3,0,"Include","Include"
"NCT00969657","Prospective Validation of a Predictive Model for Pathologic Complete Response After Chemoradiotherapy in Rectal Cancer: A Prognostic Study; Validation of a Predictive Model After Complete Response in Rectal Cancer","rayyan-325727751","Prospective Validation of a Predictive Model for Pathologic Complete Response After Chemoradiotherapy in Rectal Cancer: A Prognostic Study; Validation of a Predictive Model After Complete Response in Rectal Cancer","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included"", ""a.barnett""=>""Included""} | RAYYAN-LABELS: prognosis,diagnostic,validation,development","""Nicole""=>""Included"", ""Rex""=>""Included"", ""a.barnett""=>""Included""",3,0,0,3,0,"Include","Include"
"NCT01020409","INFLACOR (INFLA-mmation A-fter C-ardiac O-pe-R-ation) - Use of Selected Genetic Variants; Cytokines; and Physiologic Parameters in the Prognosis of Postoperative Complications in Patients Undergoing Cardiopulmonary Bypass Cardiac Surgery; INFLACOR - Clinical and Genetic Predictors of Inflammation Related Complications After Heart Surgery","rayyan-325727752","INFLACOR (INFLA-mmation A-fter C-ardiac O-pe-R-ation) - Use of Selected Genetic Variants; Cytokines; and Physiologic Parameters in the Prognosis of Postoperative Complications in Patients Undergoing Cardiopulmonary Bypass Cardiac Surgery; INFLACOR - Clinical and Genetic Predictors of Inflammation Related Complications After Heart Surgery","RAYYAN-INCLUSION: {""Nicole""=>""Maybe"", ""Rex""=>""Included"", ""a.barnett""=>""Included""} | RAYYAN-LABELS: prognosis,diagnostic,validation,development","""Nicole""=>""Maybe"", ""Rex""=>""Included"", ""a.barnett""=>""Included""",2,0,1,2,0,"Include","Include"
"NCT01080157","An Evaluation of a Noninvasive Diabetes Screening Device in Subjects at Risk for Diabetes; Evaluation of a Noninvasive Diabetes Screening Device in Subjects at Risk for Diabetes","rayyan-325727754","An Evaluation of a Noninvasive Diabetes Screening Device in Subjects at Risk for Diabetes; Evaluation of a Noninvasive Diabetes Screening Device in Subjects at Risk for Diabetes","RAYYAN-INCLUSION: {""Nicole""=>""Maybe"", ""Rex""=>""Included"", ""a.barnett""=>""Included""} | RAYYAN-LABELS: diagnosis,diagnostic,validation,development","""Nicole""=>""Maybe"", ""Rex""=>""Included"", ""a.barnett""=>""Included""",2,0,1,2,0,"Include","Include"
"NCT01291342","Detection and Identification of Preeclampsia Via Volatile Biomarkers; Detection and Identification of Preeclampsia Via Volatile Biomarkers","rayyan-325727757","Detection and Identification of Preeclampsia Via Volatile Biomarkers; Detection and Identification of Preeclampsia Via Volatile Biomarkers","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included"", ""a.barnett""=>""Included""} | RAYYAN-LABELS: diagnostic,development,multiple designs","""Nicole""=>""Included"", ""Rex""=>""Included"", ""a.barnett""=>""Included""",3,0,0,3,0,"Include","Include"
"NCT01302626","Radiomics: a Prospective Study of Outcome in Lung Cancer; Radiomics: a Study of Outcome in Lung Cancer","rayyan-325727759","Radiomics: a Prospective Study of Outcome in Lung Cancer; Radiomics: a Study of Outcome in Lung Cancer","RAYYAN-INCLUSION: {""Nicole""=>""Included"", ""Rex""=>""Included""} | RAYYAN-LABELS: prognosis,validation,development | USER-NOTES: {""Nicole""=>[""example of inadequate description of methods""]}","""Nicole""=>""Included"", ""Rex""=>""Included"", ""Nicole""=>[""example of inadequate description of methods""]",2,0,0,2,0,"Include","Include"
