,sample_id,posneg,testcontrol,NCT_num,PMID,F03_pmid_aggmax,F01_authors_authtree,F16_titleabs_propoccurance,F13_titleabs_tsimunw_tms,F13_titleabs_tsimunw_scr,F13_titleabs_tsimw_tms,F13_titleabs_tsimw_scr,F24_mesh_meshsim,F31_authors_authtree,F30_abstract_occurance,FTA_ta_allcaps_mismatch,F25_mesh_meshsim,F33_grants_occurance,F29_grants_occurance,F15_titleabs_propoccurance,F02_titleabs_allcaps,F13_chemicals_reverseoccur,F27_abstract_occurance,F30_cn_occurance,F09_titleabs_occurance,F10_titleabs_occurance,F36_authors_authtree,startdate_lift,start_diff_lt5,start_diff_cast,authcomp,agginvint,prob,Trial Results,NCT Link,rank,keep
NCT03745053:31061876,0,0,0,NCT03745053,31061876,,100.0,-0.5,193,3486.43954,341,6273.34627,0.285332373297017,,0.5,0,0.506728134364736,0,0.0,0.5,0,0.123653040492693,0.5,0.0,-0.5,0.5,,0.0791550925925926,1,0,100.0,0.799776153180279,1.0,yes,yes,1,1
NCT03745053:31104821,0,0,0,NCT03745053,31104821,0.4371477293974187,100.0,-0.5,196,3492.52423,353,6339.1876,0.285332373297017,,-0.5,1,0.0,0,0.0,0.5,0,1.0,-0.5,0.0,-0.5,-0.5,,0.0791550925925926,1,0,100.0,0.799776153180279,0.9187886117314036,no,no,2,1
NCT03745053:26269415,0,0,0,NCT03745053,26269415,0.4745274202876636,100.0,-0.5,159,2979.94631,290,5471.88581,0.285332373297017,,-0.5,0,1.0625,0,0.0,-0.5,0,0.3333333333333333,-0.5,0.0,-0.5,-0.5,,0.0,0,0,100.0,0.799776153180279,0.881133619674615,no,no,3,1
NCT03745053:30767663,0,0,0,NCT03745053,30767663,0.4371477293974187,100.0,-0.5,204,3578.11983,360,6429.67065,0.285332373297017,,-0.5,0,1.1,0,0.0,-0.5,0,0.0,-0.5,0.0,-0.5,0.5,,0.0791550925925926,1,0,100.0,0.799776153180279,0.8669185604968265,no,no,4,1
NCT03745053:15820294,0,0,0,NCT03745053,15820294,0.3185863454510522,100.0,-0.5,180,3329.50468,314,5940.85174,0.285332373297017,,-0.5,0,0.0,0,0.0,-0.5,0,0.25,-0.5,0.0,-0.5,0.5,,0.0,0,0,100.0,0.799776153180279,0.8119798438006184,no,no,5,1
NCT03745053:18215597,0,0,0,NCT03745053,18215597,0.38776284065495176,100.0,-0.5,154,2879.23467,286,5395.51996,0.285332373297017,,-0.5,1,1.2,0,0.0,0.5,0,0.123653040492693,-0.5,0.0,-0.5,0.5,,0.0,0,0,100.0,0.799776153180279,0.7634997871785828,no,no,6,1
NCT03745053:32274941,0,0,0,NCT03745053,32274941,0.09689158751116735,0.0,-0.5,242,3999.32451,420,7090.94616,0.285332373297017,,-0.5,1,1.1666666666666667,0,0.0,0.5,0,1.0,-0.5,0.0,0.5,-0.5,,0.235266203703704,1,0,0.0,0.236849605005533,0.7620292122595088,no,no,7,1
NCT03745053:32456554,0,0,0,NCT03745053,32456554,0.09689158751116735,0.0,-0.5,184,3260.7176,323,5823.46828,0.285332373297017,,-0.5,0,1.1666666666666667,0,0.0,0.5,0,1.0,-0.5,0.0,-0.5,0.5,,0.235266203703704,1,0,0.0,0.236849605005533,0.7537802979020469,no,no,8,1
NCT03745053:16003251,0,0,0,NCT03745053,16003251,0.34012864056971215,0.0,-0.5,216,3721.49464,384,6702.15348,0.285332373297017,,-0.5,0,1.25,0,0.0,0.5,0,0.123653040492693,-0.5,0.0,0.5,0.5,,0.0,0,0,0.0,0.34012864056971215,0.7337158966115236,no,no,9,1
NCT03745053:25469734,0,0,0,NCT03745053,25469734,0.5871846638659588,100.0,-0.5,207,3640.34917,372,6602.93619,0.285332373297017,,-0.5,1,1.1428571428571428,0,0.0,0.5,0,0.123653040492693,-0.5,0.0,-0.5,-0.5,,0.0,0,0,100.0,0.799776153180279,0.7310176221767942,no,no,10,1
